[2026-09-15T06:40:56.949Z] SOAK STARTED
[2026-09-15T12:34:05.155Z] STATS | QUEUED: null | IMPORTING: null | STAGED: null | RETRY: null | PUBLISHED_TOTAL: null | AVG_RATE: -22.85/min
[2026-09-15T12:35:25.046Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: null | AVG_RATE: -22.76/min
[2026-09-15T12:35:26.100Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: null | AVG_RATE: -22.76/min
[2026-09-15T12:46:51.616Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.71/min
[2026-09-15T12:48:04.017Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.70/min
[2026-09-15T12:48:05.769Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.70/min
[2026-09-15T13:05:55.782Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.67/min
[2026-09-15T13:12:01.910Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: null | AVG_RATE: -20.63/min
[2026-09-15T13:13:27.500Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.66/min
[2026-09-15T13:15:05.741Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.65/min
[2026-09-15T13:15:20.631Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.65/min
[2026-09-15T13:25:44.596Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: null | AVG_RATE: -19.93/min
[2026-09-15T13:25:44.596Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.64/min
[2026-09-15T13:34:20.090Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.62/min
[2026-09-15T13:40:12.719Z] STATS | QUEUED: null | IMPORTING: null | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: null | AVG_RATE: -19.24/min
[2026-09-15T13:46:16.296Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.61/min
[2026-09-15T13:54:57.770Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: null | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.59/min
[2026-09-15T13:57:11.018Z] STATS | QUEUED: null | IMPORTING: null | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.59/min
[2026-09-15T14:04:47.841Z] STATS | QUEUED: null | IMPORTING: null | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.58/min
[2026-09-15T14:08:53.773Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: null | AVG_RATE: -18.01/min
[2026-09-15T14:09:48.880Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.57/min
[2026-09-15T14:14:09.453Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: null | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.57/min
[2026-09-15T14:19:43.204Z] STATS | QUEUED: null | IMPORTING: null | STAGED: null | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.56/min
[2026-09-15T14:25:38.004Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.56/min
[2026-09-15T14:26:11.531Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: null | AVG_RATE: -17.34/min
[2026-09-15T14:29:59.727Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.55/min
[2026-09-15T14:39:10.962Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: 8326 | AVG_RATE: 0.54/min
[2026-09-15T14:39:35.317Z] STATS | QUEUED: null | IMPORTING: 0 | STAGED: 0 | RETRY: 13 | PUBLISHED_TOTAL: null | AVG_RATE: -16.86/min
